ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi772;-35,289725;-5,68743;-50,92968093;-17,7945434
boi773;-35,289731;-5,687432;-50,92968093;-17,7945434
boi774;-35,289727;-5,687429;-52,02397107;-27,23365878
boi775;-35,289723;-5,687425;-48,28029255;-17,30058111
boi776;-35,289723;-5,687422;-52,61703111;-27,10683702
boi777;-35,289727;-5,687429;-52,61703111;-27,10683702
boi778;-35,289732;-5,687432;-52,30285483;-27,14569762
boi779;-37,091339;-6,444753;-56,97317679;-14,36245127
boi780;-35,261106;-5,914657;-54,56456909;-19,39552137
boi781;-35,261106;-5,914657;-46,82124801;-22,4360055
boi782;-35,343571;-5,860209;-50,19812406;-8,069328965
boi783;-35,343571;-5,860209;-50,01696035;-5,629799735
boi784;-35,343571;-5,860209;-48,28029255;-17,30058111
boi785;-35,343571;-5,860209;-48,20870525;-7,19132894
boi786;-35,343571;-5,860209;-52,2758769;-27,63340581
boi787;-35,343571;-5,860209;-53,45972218;-24,9537975
boi788;-35,343571;-5,860209;-49,42877727;-16,50319156
boi789;-35,343571;-5,860209;-57,61848442;-11,02392091
boi790;-35,343571;-5,860209;-51,36278036;-23,31359249
boi791;-35,329853;-5,864707;-47,22049119;-23,6526325
boi793;-35,329853;-5,864707;-50,0245774;-8,0544324
boi794;-35,343571;-5,860209;-35,48996498;-6,852715
boi795;-35,343571;-5,860209;-50,57021361;-14,74758948
boi796;-35,343571;-5,860209;-52,2758769;-27,63340581
boi797;-35,343571;-5,860209;-51,49621531;-27,17030318
boi798;-35,343571;-5,860209;-50,19812406;-8,069328965
boi800;-35,210865;-5,844371;-48,42480679;-7,633314911
boi801;-35,210865;-5,844371;-48,42480679;-7,633314911
boi803;-35,210865;-5,844371;-46,87465289;-23,508902
boi804;-35,210865;-5,844371;-48,748223;-6,189251148
boi805;-35,210865;-5,844371;-48,748223;-6,189251148
boi806;-35,210865;-5,844371;-48,42480679;-7,633314911
boi808;-35,199897;-5,85509;-46,57038318;-23,5673865
boi809;-35,199897;-5,85509;-46,57038318;-23,5673865
boi811;-35,199897;-5,85509;-46,57038318;-23,5673865
boi812;-35,289523;-5,687478;-52,19188024;-29,61165289
boi813;-35,289503;-5,687564;-51,37884779;-20,90146352
boi814;-35,289523;-5,687478;-56,0923753;-15,6297368
boi815;-35,289545;-5,687566;-51,40520808;-26,90316461
boi816;-35,289545;-5,687572;-49,12681141;-12,47881532
boi817;-35,289545;-5,687572;-49,12681141;-12,47881532
boi818;-35,289522;-5,687478;-50,92968093;-17,7945434
boi820;35,30693659;5,750143447;-43,22787512;-22,87665212
boi821;-35,30693659;-5,750143447;-51,18870771;-19,67737173
boi822;-35,30693659;-5,750143447;-47,2759707;-3,2745553
boi823;-35,30693659;-5,750143447;-56,0923753;-15,6297368
boi824;-35,302017;-5,748905771;-70,8119953;-9,0237964
boi825;-35,30201418;-5,748905771;-52,4465474;-15,3451417
boi826;-35,202074;-5,836721;-50,61128172;-9,364055729
boi827;-35,202074;-5,836721;-50,0245774;-8,0544324
boi828;-35,202074;-5,836721;-50,92968093;-17,7945434
boi829;-35,202074;-5,836721;-46,92209251;-23,449453
boi830;-35,202074;-5,836721;-47,22049119;-23,6526325
boi831;-35,202074;-5,836721;-46,87465289;-23,508902
boi832;-35,202074;-5,836721;-48,50674218;-21,410008
boi833;-35,202074;-5,836721;-47,22049119;-23,6526325
boi834;-35,202074;-5,836721;-46,82124801;-22,4360055
boi835;-35,202064;-5,836768;-54,56456909;-19,39552137
boi836;-35,202074;-5,836721;-51,40520808;-26,90316461
boi837;-35,202074;-5,836721;-48,42480679;-7,633314911
boi838;-35,202074;-5,836721;-50,61128172;-9,364055729
boi839;-35,202074;-5,836721;-48,27795018;-18,91899861
boi840;-35,202074;-5,836721;-48,748223;-6,189251148
boi841;-35,202074;-5,836721;-50,57021361;-14,74758948
boi842;-35,202074;-5,836721;-52,33555;-14,0477016
boi843;-35,202074;-5,836721;-51,40520808;-26,90316461
